epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,10333,0.54938,0.38402,0.90297,0.83514,0.80007,0.84462,0.65582,0.93534,0.74237,1.066,0.002476,0.002476,0.002476
154,10400.6,0.54297,0.37606,0.9,0.83568,0.80062,0.84487,0.65603,0.9356,0.74161,1.06619,0.0024265,0.0024265,0.0024265
155,10468.1,0.53836,0.37128,0.8971,0.83407,0.80004,0.84526,0.65699,0.93419,0.74043,1.06573,0.002377,0.002377,0.002377
156,10535.6,0.53853,0.37433,0.89879,0.83554,0.79988,0.8453,0.6574,0.9332,0.7402,1.06532,0.0023275,0.0023275,0.0023275
157,10603,0.54323,0.3795,0.89849,0.83739,0.79915,0.84591,0.65769,0.93315,0.74032,1.06526,0.002278,0.002278,0.002278
158,10670.6,0.53496,0.37492,0.89585,0.836,0.79982,0.84546,0.65776,0.93343,0.73962,1.06512,0.0022285,0.0022285,0.0022285
159,10738.2,0.53247,0.36966,0.897,0.83759,0.80135,0.84683,0.6583,0.93127,0.73963,1.06448,0.002179,0.002179,0.002179
160,10805.6,0.53156,0.3735,0.89539,0.83856,0.80022,0.84692,0.65891,0.93053,0.73889,1.06397,0.0021295,0.0021295,0.0021295
161,10873.2,0.53102,0.37151,0.89566,0.84085,0.79789,0.84724,0.65946,0.93055,0.7392,1.0636,0.00208,0.00208,0.00208
162,10940.6,0.52556,0.36559,0.89308,0.84064,0.79735,0.84767,0.65904,0.9297,0.73832,1.0634,0.0020305,0.0020305,0.0020305
163,11007.9,0.5227,0.36308,0.89088,0.84265,0.79565,0.84736,0.65865,0.93001,0.73734,1.06278,0.001981,0.001981,0.001981
164,11075.2,0.51888,0.3634,0.89264,0.84335,0.79675,0.84793,0.65898,0.92874,0.73756,1.06256,0.0019315,0.0019315,0.0019315
165,11142.4,0.51461,0.35961,0.88788,0.84391,0.79596,0.84732,0.65988,0.92803,0.73677,1.06229,0.001882,0.001882,0.001882
166,11209.8,0.50843,0.35497,0.88937,0.8444,0.7973,0.84832,0.66012,0.92769,0.73614,1.06175,0.0018325,0.0018325,0.0018325
167,11277.4,0.50917,0.35477,0.88808,0.84639,0.79754,0.84865,0.66144,0.92636,0.73668,1.06175,0.001783,0.001783,0.001783
168,11344.8,0.50349,0.34851,0.88413,0.84691,0.79719,0.84856,0.66145,0.92629,0.73788,1.06183,0.0017335,0.0017335,0.0017335
169,11412.1,0.50541,0.35188,0.88571,0.84772,0.79739,0.84939,0.66208,0.92611,0.73725,1.06211,0.001684,0.001684,0.001684
170,11479.7,0.50181,0.34815,0.88619,0.84702,0.79652,0.84837,0.6618,0.92528,0.7366,1.06221,0.0016345,0.0016345,0.0016345
171,11546.9,0.49869,0.34837,0.88687,0.85488,0.79322,0.85009,0.66302,0.92392,0.73717,1.06253,0.001585,0.001585,0.001585
172,11614.5,0.49451,0.34461,0.88769,0.84972,0.79687,0.85014,0.66369,0.92389,0.73584,1.06235,0.0015355,0.0015355,0.0015355
173,11682.2,0.49235,0.34392,0.88179,0.84848,0.79771,0.8503,0.66398,0.92398,0.73509,1.06198,0.001486,0.001486,0.001486
174,11749.6,0.49522,0.34524,0.88582,0.8485,0.79849,0.85034,0.66387,0.92278,0.73373,1.06219,0.0014365,0.0014365,0.0014365
175,11816.9,0.49213,0.34433,0.88568,0.84999,0.80015,0.85104,0.66452,0.92148,0.73406,1.06183,0.001387,0.001387,0.001387
176,11884.3,0.48974,0.3415,0.87861,0.84911,0.79979,0.84954,0.66518,0.92039,0.73329,1.06137,0.0013375,0.0013375,0.0013375
177,11951.8,0.48452,0.33611,0.88189,0.84994,0.80018,0.84959,0.66506,0.91996,0.73278,1.06139,0.001288,0.001288,0.001288
178,12019,0.47794,0.33309,0.87815,0.85461,0.79859,0.85083,0.6656,0.91902,0.73409,1.06156,0.0012385,0.0012385,0.0012385
179,12086.5,0.47952,0.33465,0.88073,0.85657,0.79864,0.85099,0.66602,0.91931,0.73509,1.06193,0.001189,0.001189,0.001189
180,12153.9,0.4781,0.33371,0.87846,0.8537,0.79883,0.85088,0.66772,0.91717,0.73623,1.06128,0.0011395,0.0011395,0.0011395
181,12221.4,0.46599,0.32485,0.87577,0.85405,0.79912,0.85176,0.66816,0.91655,0.73569,1.06123,0.00109,0.00109,0.00109
182,12288.8,0.47042,0.32542,0.8782,0.8555,0.79861,0.85198,0.66899,0.91508,0.73466,1.06069,0.0010405,0.0010405,0.0010405
183,12356.3,0.46873,0.32598,0.87643,0.85719,0.79774,0.85208,0.66885,0.91502,0.73481,1.06064,0.000991,0.000991,0.000991
184,12423.6,0.46263,0.32218,0.87521,0.86009,0.79751,0.85211,0.66967,0.91431,0.73476,1.06021,0.0009415,0.0009415,0.0009415
185,12491,0.46268,0.32292,0.87426,0.863,0.79685,0.8524,0.67002,0.91306,0.73509,1.06025,0.000892,0.000892,0.000892
